,cord_uid,sentence_id,section,sentence
34547,8xx1xm2d,8xx1xm2d5034547,"Dear Editor,","Abdominal US examination revealed splenomegaly (14 cm); methotrexate was suspended and liposomal Amphotericin B, 4 mg/kg per day for 10 days, followed by two further administrations two weeks later was started."
34582,8xx1xm2d,8xx1xm2d2634582,Detection of mobile colistin resistance gene mcr-9 in carbapenem-resistant Klebsiella pneumoniae strains of human origin in Europe,"The emergence and spread of Gram-negative bacteria, for example, Klebsiella pneumoniae , co-producing carbapenemases and mobilized colistin resistance ( mcr ) genes limit our choice for treating multidrug-resistant infections, posing significant threats to public health."
34584,8xx1xm2d,8xx1xm2d2734584,Detection of mobile colistin resistance gene mcr-9 in carbapenem-resistant Klebsiella pneumoniae strains of human origin in Europe,"The mobilized colistin resistance ( mcr ) gene mcr-9 was detected in 28 human gut microbiomes, which has been disseminating across three continents, including Asia, Europe and America, recently published in the Journal of Infection."
34611,8xx1xm2d,8xx1xm2d3234611,Detection of mobile colistin resistance gene mcr-9 in carbapenem-resistant Klebsiella pneumoniae strains of human origin in Europe,"Although two unique plasmid-mediated tigecycline resistance genes firstly discovered in bacteria of animal origin in China and subsequently identified in many bacterial isolates of human, animal and environment origin, including Klebsiella species, as well as human and animal gut microbiomes, 1 , 4 , 5 none of them was detected in the 1717 K. pneumoniae strains in Europe."
8005,hxaix2al,hxaix2al08005,title,Timely blood glucose management for the outbreak of 2019 novel coronavirus disease (COVID-19) is urgently needed
29802,w8dfhxyt,w8dfhxyt429802,Case report,"During the hospitalization, the main treatment has been oral antiviral drugs (Lopinavir and Ritonavir tablets), interferon and methylprednisolone."
11192,1hwdd7nq,1hwdd7nq111192,Contents lists available at ScienceDirect,It is a monophosphoramidate prodrug and is an adenosine analog.
11201,1hwdd7nq,1hwdd7nq211201,Contents lists available at ScienceDirect,"One study showed that remdesiv and interferon beta were superior to lopinavir, ritonavir and interferon beta both in vitro and in a MERS-CoV mouse model [9] ."
14034,fv7a9je6,fv7a9je62014034,Perspectives,"Cases in Vietnam, Thailand and United States [22, 44] , have been reported where patients received antivirals, such as remdesivir [44] , among other drugs including oseltamivir; clinical trials of antivirals and vaccines are ongoing for MERS-CoV and one controlled trial of ritonavir-boosted lopinavir monotherapy for 2019-nCoV (ChiCTR2000029308) [45] , at the Wuhan's Jin Yintan Hospital [46] is in progress."
14035,fv7a9je6,fv7a9je62014035,Perspectives,"In a historical control study [14, 47] , the combination of lopinavir and ritonavir among SARS-CoV patients was associated with substantial clinical benefit (fewer adverse clinical outcomes)."
14036,fv7a9je6,fv7a9je62014036,Perspectives,"Saudi Arabia initiated a placebo-controlled trial of interferon beta-1b, lopinavir, and ritonavir among patients with MERS infection [14, 48, 49] ."
14044,fv7a9je6,fv7a9je62214044,Perspectives,• Wash your hands often with soap and water for at least 20 seconds.
14045,fv7a9je6,fv7a9je62214045,Perspectives,Use an alcohol-based hand sanitizer that contains at least 60% alcohol if soap and water are not available.
14072,fv7a9je6,fv7a9je61814072,United States,"In the United States, the U.S. Centers for Disease Control and Prevention (U.S. Centers for Disease Control and Prevention) are closely monitoring the situation in China, but also at home, with reported cases in Chicago, Illinois; San Benito, California; Santa Clara, California; Los Angeles, California; Boston, Massachusetts; Tempe, Arizona; Orange, California; and Seattle, Washington."
14074,fv7a9je6,fv7a9je6714074,United Kingdom,"Travel patterns between the UK and China are well established; in an analysis of air travel from cities in China to international destinations in 2019, nine of the ten cities receiving the highest volumes of arriving passengers were in Asia, with London (UK), ranking 10th [18] ."
14101,trvleobp,trvleobp014101,abstract,"The bulk of this robust antibody immunoassay platform could be installed into a compact syringedriven cassette device, which could perform multiplex antibody immunoassay for antibodies specifically against Middle East respiratory syndrome coronavirus (MERS-CoV) with rapid preparation amounting to a total of 5 min, as well as high sensitivity and specificity for the MERS-CoV"
14150,trvleobp,trvleobp1814150,Discussion,"In the case of EPSP fiber mats, the nature of hydrophobicity arises from Cassie-Baxter regime consisting of two kinds of hydrophobic materials, which are the untreated PS and air [41] ."
14152,trvleobp,trvleobp1814152,Discussion,"For flat PS plates, the surface wettability of water changed from 77.7°± 3.0°-25.2°± 3.9°after treatment with O 2 plasma for 5 min."
14154,trvleobp,trvleobp1814154,Discussion,"This hydrophilic nature of the ESPS microfiber mat after O 2 plasma treatment can be explained by the Wenzel regime, describing the reduced apparent water contact angles for rough surfaces [41] ."
14156,trvleobp,trvleobp1814156,Discussion,"In other words, O 2 plasma treatment of PS was suitable for preventing air pockets within microfibers, and thus the protein solution could contact the fiber surface through wetting."
14164,trvleobp,trvleobp1914164,Discussion,"It has been found that casein, within milk, can be an effective blocking agent due to its small protein size."
14180,trvleobp,trvleobp514180,FLISA reagents and materials,"Anti-MERS-NP was labeled by the Fluorescein Labeling Kit -NH 2 (Dojindo Inc. Phosphate buffered saline (PBS, pH 7.4, Gibco) with Tween 20 (PBS-T, pH 7.4, 0.1 w/v% Tween 20) and skim milk (Yukijirushi Inc were utilized for different purposes like diluents, washes and blocking agents."
14216,trvleobp,trvleobp614216,Electrospinning technique,"This technique layered ESPS fiber mats by stacking 8 layers of fibers atop one another, soaking them in ethanol (EtOH) then sandwiching the stack between glass sheets and pressed by a 2 kg weight for 24 h before use."
24316,eahhf7yh,eahhf7yh424316,published in,"The orally delivered, adenovirus-vectored VXA-A1.1 vaccine is produced using egg-independent technology."
24532,hl6mqd9j,hl6mqd9j024532,title,From the insight of glucose metabolism disorder: Oxygen therapy and blood glucose monitoring are crucial for quarantined COVID-19 patients
24536,hl6mqd9j,hl6mqd9j024536,body_text,"Typically, pulmonary inflammation and compromised oxygen exchange in the infected cases can cause dyspnea or hypoxia, autopsy report of the non-survivors showed viscous secretions in respiratory tracts and air sacs of the lung (Liu et al., 2020; Xu et al., 2020) ."
24537,hl6mqd9j,hl6mqd9j024537,body_text,"Hypoxia as an often seen problem is frequently accompanied by cellular glucose metabolism disorders (Hjalmarsen et al., 1996; Oltmanns et al., 2004) ."
24538,hl6mqd9j,hl6mqd9j024538,body_text,"Indeed, a large proportion of the COVID-19 patients represent high blood lactate dehydrogenase (LDH) levels, concomitantly developing hyperglycemia and increased blood lactate concentrations along with the disease aggravation (Guan et al., 2020; Huang et al., 2020; Yang et al., 2020) ."
28483,99mpx3l9,99mpx3l9028483,body_text,"3 An experiment with a mannikin showed that NIV or HFNC, when well applied with an optimal fit, only lead to minimal dispersion of exhaled air."
11899,l5ogbl5p,l5ogbl5p511899,What is different in 2020 compared with 2003?,"The high connectivity of Wuhan to international airports further facilitated rapid spread to cities and countries with high air passenger volumes from China, such as Singapore, Japan, and Thailand."
15192,jn5hwrny,jn5hwrny715192,Contagiousness,"If a given epidemic pathogen is not especially contagious (ie, cholera), then it may result from an exposure that is difficult to avoid, such as widespread contamination of drinking water."
15268,jn5hwrny,jn5hwrny1815268,INTENSIVE CARE UNIT PLANNING FOR PANDEMICS,"27, 28 In light of a known epidemic or pandemic, local, state, and federal health authorities require coordination to assess known available quantities of available required agents, such as oseltamivir and peramivir for influenza, plus appropriate antimicrobial drugs for secondary bacterial infections."
15271,jn5hwrny,jn5hwrny1915271,INTENSIVE CARE UNIT PLANNING FOR PANDEMICS,"29 It is worth noting that not all alternative agents are equivalent in efficacy to preferred first-line therapies, as illustrated in recent US shortages of norepinephrine, 30 although this may be considered acceptable in a pandemic setting."
15288,jn5hwrny,jn5hwrny2115288,INTENSIVE CARE UNIT PLANNING FOR PANDEMICS,"10 Aerosolizing procedures, such as endotracheal intubation, bronchoscopy, and tracheostomy, can be performed using purified air-powered respirators (PAPRs)."
10204,kqetjqys,kqetjqys410204,Potential risks during pathological samples' transfer and storage,Samples need to transfer to the pathology laboratory and storage in formalin for more than one week; any aerosols have the potential to effuse in air and endanger physicians.
10215,kqetjqys,kqetjqys1310215,Improvement of the forensic autopsy laboratory construction,"The P3 autopsy laboratory would satisfy the requirements for most of the infectious diseases, with the special requirements in terms of floor layout, maintenance structure, ventilation and air conditioning system, water supply and air supply system, sewage disposal, and disinfection system."
10216,kqetjqys,kqetjqys1310216,Improvement of the forensic autopsy laboratory construction,Each functional area of the autopsy laboratory must maintain a certain negative pressure and suction gradient to ensure no leak or reflux of contaminating air [14] .
10226,kqetjqys,kqetjqys310226,Potential risks during autopsy,"During an autopsy, forensic practitioners need to perform tissue segmentation, organ extraction, organ incision and other procedures, during which the virus can be passively released and increase the risk of inhaling the virus due to the timeframe of the autopsy and close proximity to the body."
10251,kqetjqys,kqetjqys1010251,Protection measures for the death scene and autopsy,"The contaminated area must maintain a sufficient negative pressure, sufficient filtering conditions for air emission and sewage discharge [11] ."
25893,rq9vij1y,rq9vij1y1625893,Discussion,"To date, there was only a previous report in which N. caninum infection was evaluated in milk samples by the enzyme-linked immunosorbent assay (ELISA"
25906,rq9vij1y,rq9vij1y1925906,Discussion,"A study conducted in Belgium found a higher abortion rate (28.6%) in N. caninum seropositive dairy cows compared to seropositive beef cows (14.0%) (De Meerschman et al., 2002) ."
25907,rq9vij1y,rq9vij1y2025907,Discussion,"However, a study conducted Spain found similar rates of abortion between dairy and beef cows (Eiras et al., 2011) ."
25935,rq9vij1y,rq9vij1y225935,Introduction,N. caninum causes abortions in both dairy and beef cattle.
25942,rq9vij1y,rq9vij1y325942,Introduction,"In the definitive canid hosts, the horizontal transmission through ingestion of tissues infected with tachyzoites, tissue cysts or food and water contaminated with sporulated oocyst is the predominant infection route (Donahoe et al., 2015; Dubey et al., 2007) ."
25960,rq9vij1y,rq9vij1y2725960,Conclusion,"We recommend the following preventive measures that could avoid financial losses caused by chemotherapy: quarantine and testing of replacement and other new cows (farmers may decide to remove infected cows or their progeny from the herd), limited contamination of pastures, food and feeding stuff with feces from dogs and other potential definitive hosts, regular control of water supply, regular rodent control to eliminate a potential reservoir of N. caninum in livestock and reproductive management control (e.g. the control of embryos transfer from infected dams into uninfected recipients can prevent endogenous transplacental transmission of the parasite, artificial insemination of seropositive dams with semen from beef bulls)."
32795,bun7pogu,bun7pogu032795,title,"Diabetes patients with COVID-19 need better blood glucose management in Wuhan, China"
32799,bun7pogu,bun7pogu132799,Main text,"In order to investigate current blood glucose (BG) management of the patients with both diabetes and COVID-19, we retrospectively analyzed 29 inpatients diagnosed with type-2 diabetes and laboratoryconfirmed COVID-19 and admitted to a designated isolation medical center in Wuhan from February 13th to March 1st."
32815,bun7pogu,bun7pogu432815,Main text,"5) Pancreatic tissue is a potential target of viral infection, leading to glucose metabolism disorders [9, 10] ."
32816,bun7pogu,bun7pogu532816,Main text,We hereby suggest 1) Establish an electronic blood glucose record and remote consultation system to flexibly utilize the resources of local endocrinologists or professionals nationwide.
35410,xvnv17zy,xvnv17zy435410,Case presentation,"On admission, physical examination revealed normal vital signs with oxygen saturation of 98% while the patient was breathing ambient air."
35417,xvnv17zy,xvnv17zy535417,Case presentation,"The patient's respiratory symptoms improved, and she maintained normal body temperature after symptomatic treatment and antimicrobial therapy, including oseltamivir, arbidol, Lopinavir/ ritonavir, and moxifloxacin."
2957,uvavdk6n,uvavdk6n02957,abstract,"The four datasets we fitted to were: daily number of new internationally exported cases (or lack thereof), by date of onset, as of Jan 26, 2020; daily number of new cases in Wuhan with no market exposure, by date of onset, between Dec 1, 2019, and Jan 1, 2020; daily number of new cases in China, by date of onset, between Dec 29, 2019, and Jan 23, 2020; and proportion of infected passengers on evacuation flights between Jan 29, 2020, and Feb 4, 2020."
2958,uvavdk6n,uvavdk6n02958,abstract,"We used an additional two datasets for comparison with model outputs: daily number of new exported cases from Wuhan (or lack thereof) in countries with high connectivity to Wuhan (ie, top 20 most at-risk countries), by date of confirmation, as of Feb 10, 2020; and data on new confirmed cases reported in Wuhan between Jan 16, 2020, and Feb 11, 2020."
2993,uvavdk6n,uvavdk6n12993,Data sources,"The four datasets we fitted to were: daily number of new internationally exported cases (or lack thereof), by date of onset, as of Jan 26, 2020; daily number of new cases in Wuhan with no market exposure, by date of onset, between Dec 1, 2019, and Jan 1, 2020; daily number of new cases in China, by date of onset, between Dec 29, 2019, and Jan 23, 2020; and proportion of infected passengers on evacuation flights between Jan 29, 2020, and Feb 4, 2020 (appendix p 3)."
2994,uvavdk6n,uvavdk6n12994,Data sources,"We used an additional two datasets for comparison with model outputs: daily number of new exported cases from Wuhan (or lack thereof) in countries with high connectivity to Wuhan (ie, top 20 most at-risk countries), by date of confirmation, as of Feb 10, 2020; and data on new confirmed cases reported in Wuhan between Jan 16, 2020, and Feb 11, 2020 (appendix p 3)."
3020,uvavdk6n,uvavdk6n183020,Discussion,"These estimates have shown good correspondence with the distribution of exported cases to date, 22 and are similar to another risk assessment for COVID-19 with different data."
3041,uvavdk6n,uvavdk6n03041,Introduction,Most internationally exported cases reported to date have history of travel to Wuhan.
3742,5g9vyopv,5g9vyopv53742,Results,"However, the authors did not perform electroencephalography (EEG) or cerebrospinal fluid (CSF"
3762,5g9vyopv,5g9vyopv93762,Discussion,It is necessary to perform continuous EEG monitoring Table 2
11572,j3avpu1y,j3avpu1y011572,abstract,No data on person-to-person or nosocomial transmission have been published to date.
11582,j3avpu1y,j3avpu1y011582,abstract,"Older patients (aged >60 years) had more systemic symptoms, extensive radiological ground-glass lung changes, lymphopenia, thrombocytopenia, and increased C-reactive protein and lactate dehydrogenase levels."
11602,j3avpu1y,j3avpu1y1411602,Results,She was given cefaclor for 3 days with no improvement.
11603,j3avpu1y,j3avpu1y1411603,Results,"She developed fever and dry cough and attended the same outpatient clinic and was treated with intravenous cefazolin (two doses) on Jan 12, 2020."
11612,j3avpu1y,j3avpu1y1511612,Results,"The three older patients (patients 1, 2, and 7) all had substantially increased C-reactive protein, fibrinogen, and lactate dehydrogenase levels."
11629,j3avpu1y,j3avpu1y811629,Implications of all the available evidence,"Although this novel coronavirus might have first originated from animals and now jumped into humans, the possibility of person-to-person transmission could not be excluded, as seen in this family cluster with no known history of exposure to markets or animals, and rapid intercity spread might be possible by air travel."
11653,j3avpu1y,j3avpu1y1911653,Discussion,"These findings suggested that person-to-person transmission and intercity spread of 2019-nCoV by air travel are possible, supporting reports of infected Chinese travellers from Wuhan being detected in other geographical regions."
11711,j3avpu1y,j3avpu1y011711,Introduction,"3 To date, no evidence of person-to-person transmission or affected health-care workers has been published in the scientific literature."
11731,j3avpu1y,j3avpu1y411731,"Reverse transcription, in-house conventional RT-PCR and sequencing","The reaction mixture (10 μL) contained 5·5 μL of RNA, 2 μL of 5 × SuperScript IV buffer, 0·5 μL of 100 mM dithiothreitol, 0·5 μL of 10 mM deoxynucleotide triphosphate (dNTP) mixture, 0·5 μL of 50 μM random hexamers, 0·5 μL of SuperScript IV reverse transcriptase (200 U/μL), and 0·5 μl of RNase-free water."
11738,j3avpu1y,j3avpu1y611738,Research in context,"Evidence before this study We searched PubMed on Jan 13, 2020, with no starting date limitations, using the terms ""family"", ""pneumonia"", ""Wuhan"", ""coronavirus"", and ""novel"" for articles in English."
15268,40bshqly,40bshqly015268,title,Receptor tyrosine kinase inhibitors block proliferation of TGEV mainly through p38 mitogen-activated protein kinase pathways
15270,40bshqly,40bshqly015270,abstract,"Here, A9, a receptor tyrosine kinase inhibitor (RTKI) of the tyrphostin class, is identified as a robust inhibitor of transmissible gastroenteritis virus (TGEV) infection in cell-based assays."
15273,40bshqly,40bshqly015273,abstract,"We specifically identified p38 and JNK1, which are the downstream molecules of receptor tyrosine kinases (RTKs) required for efficient TGEV replication, as A9 targets through plaque assays, qRT-PCR and Western blotting assays."
15284,40bshqly,40bshqly515284,"Cell lines, viruses and reagents","Tyrphostin A9, ribavirin and flunarizine were purchased from Sigma."
15298,40bshqly,40bshqly115298,Introduction,"Polyprotein 1a (pp1a) and polyprotein 1 ab (pp1ab) are translated by rep (Gorbalenya et al., 2006) and are proteolytically processed by virus-encoded proteases into 16 non-structural proteins (nsps), nsps 1-16, many of which have enzymatic activities, such as papain-like protease (PLP or nsp3), 3C-like protease (3CL), RNA-dependent RNA polymerase (RdRp, nsp12) helicase (nsp13)."
15301,40bshqly,40bshqly215301,Introduction,"Receptor tyrosine kinases (RTKs) are a group of growth factor receptors and key components of the biological control networks that regulate many biological processes including cell proliferation and differentiation as well as survival (Lemmon and Schlessinger, 2010) ."
15304,40bshqly,40bshqly215304,Introduction,"Recently, a growing number of studies has shown that several RTKs and other tyrosine kinases are involved in viral replication."
15305,40bshqly,40bshqly215305,Introduction,"For example, the receptor tyrosine kinase AXL can function as an entry factor for dengue virus and Zika virus (ZIKV) (Meertens et al., 2012; Meertens et al., 2017) ."
15306,40bshqly,40bshqly215306,Introduction,"In addition, the protein tyrosine kinase inhibitor genistein was shown to block the replication of type-1 human immunodeficiency virus (HIV-1), herpes simplex virus type 1 (HSV-1), and arenaviruses (Stantchev et al., 2007; Vela et al., 2008; Yura et al., 1993) ."
15307,40bshqly,40bshqly215307,Introduction,"PTP1B, the protein tyrosine phosphatase was also shown to be a target for antiviral therapy (Carbone et al., 2012) ."
15346,40bshqly,40bshqly1515346,Western blot analyses,"After washing three times, the membranes were exposed to a species-specific horseradish peroxidase-conjugated secondary antibody for another 1 h and washed three times followed by enhanced chemiluminescence (ECL, Thermo Scientific) detection by autoradiography (by enhanced chemiluminescence (ECL, Thermo Scientific) detection by autoradiography"
15385,40bshqly,40bshqly3515385,Fig. 4. The increased phosphorylation of p38 and JNK1 induced by TGEV infection is abolished by A9. (A) and (B),"Nevertheless, no studies to date have focused on detecting global phosphorylation events in host cells during CoV infection."
15388,40bshqly,40bshqly3515388,Fig. 4. The increased phosphorylation of p38 and JNK1 induced by TGEV infection is abolished by A9. (A) and (B),"Motif analysis suggested that the most significantly phosphorylated amino acid during TGEV infection is tyrosine (Fig. S3B) , which is consistent with A9 acting as an inhibitor of RTK to inhibit the replication of TGEV."
15424,40bshqly,40bshqly2315424,Functional categories and biological interaction network of the phosphoproteins differentially regulated between the TGEV/A9 and TGEV infection groups,"We also utilized Motif-X online software (Version 1.2, http://motif-x.med.harvard.edu/) to assess the enrichment of significant motif substrates after A9 treatment, which resulted in the identification of three tyrosine-based phosphorylation motif sequences: YXXXR, KXXXXY, and YXXXXK."
15425,40bshqly,40bshqly2315425,Functional categories and biological interaction network of the phosphoproteins differentially regulated between the TGEV/A9 and TGEV infection groups,"According to the results, the most significantly phosphorylated amino acid is tyrosine followed by threonine, YxxxRxx is also the most significant kinase motif, which is consistent with the properties of A9 as an inhibitor of RTKs ( Fig. S2B and Table S5 )."
15426,40bshqly,40bshqly2315426,Functional categories and biological interaction network of the phosphoproteins differentially regulated between the TGEV/A9 and TGEV infection groups,"Furthermore, two phospho-motifs, YXXXR and KXXXXY, were enriched during TGEV infection ( Fig. S3B and Table S5 ), indicating that the most significantly phosphorylated amino acid during TGEV infection is tyrosine."
15428,40bshqly,40bshqly2315428,Functional categories and biological interaction network of the phosphoproteins differentially regulated between the TGEV/A9 and TGEV infection groups,"In addition, TP is the only enriched threonine motif, and it is a substrate that commonly binds to the GSK-3, ERK1, ERK2, and CDK5 kinases ( Fig. S3A and Table  S5 )."
15436,40bshqly,40bshqly1815436,Identification of TGEV inhibitors by high-throughput screening of a compound library,"Compared to the DMSO control, flunarizine and ribavirin were not cytotoxic in PK-15 cells at concentrations up to 10 μM and 90 μM, respectively (Fig. 1B) ."
15439,40bshqly,40bshqly1815439,Identification of TGEV inhibitors by high-throughput screening of a compound library,"Compared to the vehicle control (DMSO), both A9 and ribavirin displayed dose-dependent inhibitory activities against TGEV in PK-15 cells."
15468,40bshqly,40bshqly3815468,The possible mechanism by which p38 facilitates viral replication,p38 MAPK activation is required for human CoV 229E (HCoV-229E) replication and chloroquine inhibits HCoV-229E
15473,40bshqly,40bshqly4015473,The possible mechanism by which p38 facilitates viral replication,"A9, an inhibitor of RTKs, initiates a signaling cascade that involves phosphorylation of the tyrosine kinase, in turn inhibiting the phosphorylation of p38 and JNK1, which are activated by TGEV infection; the result is a robust decrease in TGEV replication."
15501,40bshqly,40bshqly1215501,LC-MS/MS analysis,The peptides were subjected to a nanoelectrospray ionization (NSI) source followed by tandem mass spectrometry (MS/MS) with a Q Exactive™ Plus instrument (Thermo) that was coupled online to the UPLC.
1847,ku4z34lu,ku4z34lu41847,Samples preparation and analysis,"To exclude effects of antiviral therapy on the expression of cytokines/chemokines understudy, the samples were collected before the initiation of any antiviral treatment for MERS-CoV. For the sputum sample collections, the patients were asked to rinse their mouth and gargle with water twice immediately before obtaining the sample and instructed not to expectorate saliva or postnasal discharge into the container during collection to reduce the possibility of contamination with upper respiratory tract fluids."
1961,ku4z34lu,ku4z34lu01961,Introduction,"MERS-CoV evades and antagonizes the antiviral immune response, as well as the nuclear factor-κB (NF-κB"
1982,ku4z34lu,ku4z34lu71982,"Cellular RNA processing, quantification, and profiling of pulmonary Th1 and Th2 responses","Briefly, the cDNA template was combined with the RT 2 Real-Time SYBR Green Master Mix and RNase-free water."
21281,4vrqzbof,4vrqzbof021281,abstract,"Using publicly available event-date data from the ongoing epidemic, the present study investigated the incubation period and other time intervals that govern the epidemiological dynamics of COVID-19 infections."
21342,4vrqzbof,4vrqzbof2121342,Discussion,"Moreover, given the novelty of the COVID-19 pneumonia, it is possible that illness onset and other event data were handled differently between jurisdictions (e.g., was illness onset the date of fever or date of dyspnea?)."
21343,4vrqzbof,4vrqzbof2121343,Discussion,"Second, our data include very coarse date intervals with some proxy dates used to determine the left and/or right hand dates of some intervals."
26655,nxfr24sp,nxfr24sp026655,INTRODUCTION,"1 Reports to date indicate that although patients of all ages are susceptible to the disease, individuals developing critical illness were older and had a greater number of comorbid conditions, 3 suggesting that patients with comorbid conditions have high mortality rates and poor outcomes."
26662,nxfr24sp,nxfr24sp326662,CASE REPORT,The patient was admitted to the hospital 2 weeks later with hypoxemia (blood oxygen saturation of 90% while breathing room air) without fever or myalgia.
26675,nxfr24sp,nxfr24sp626675,CASE REPORT,"The patient was treated with oxygen support by nasal cannula, regular hemodialysis, antihypertensive medications, moxifloxacin (400 mg daily), and lopinavir/ritonavir (1 tablet twice daily) antiviral therapy."
26676,nxfr24sp,nxfr24sp626676,CASE REPORT,"The potential side effects of lopinavir/ritonavir, such as nausea, diarrhea, and occasional dizziness, were not observed during treatment."
26686,nxfr24sp,nxfr24sp926686,DISCUSSION,"9 Cao and colleagues Q4 reported that the most common laboratory abnormalities were depressed total lymphocytes, prolonged prothrombin time, and elevated lactate dehydrogenase levels in COVID-19 pneumonia."
26690,nxfr24sp,nxfr24sp1026690,DISCUSSION,Lopinavir/ritonavir is a combination antiviral medicine used to treat human immunodeficiency virus infection that 113  114  115  116  117  118  119  120  121  122  123  124  125  126  127  128  129  130  131  132  133  134  135  136  137  138  139  140  141  142  143  144  145  146  147  148  149  150  151  152  153  154  155  156  157  158  159  160  161  162  163  164  165  166  167  168   169  170  171  172  173  174  175  176  177  178  179  180  181  182  183  184  185  186  187  188  189  190  191  192  193  194  195  196  197  198  199  200  201  202  203  204  205  206  207  208  209  210  211  212  213  214  215  216  217  218  219  220  221  222  223  224 is metabolized by the liver.
26691,nxfr24sp,nxfr24sp1026691,DISCUSSION,"The active ingredient, lopinavir, is a protease inhibitor."
26692,nxfr24sp,nxfr24sp1026692,DISCUSSION,"11 Because coronavirus replication requires the action of viral proteases, lopinavir/ ritonavir may be effective by binding to the coronavirus protease to inhibit viral replication."
26693,nxfr24sp,nxfr24sp1026693,DISCUSSION,"Previous studies 12, 13 have shown that lopinavir/ritonavir can inhibit MERS-CoV (Middle East respiratory syndrome coronavirus) and SARS-CoV replication."
26694,nxfr24sp,nxfr24sp1026694,DISCUSSION,"Our results suggest that lopinavir/ ritonavir may improve the course of COVID-19 pneumonia in patients receiving hemodialysis, although the lack of a control patient makes this conclusion somewhat subjective."
26695,nxfr24sp,nxfr24sp1026695,DISCUSSION,"Because of the liver clearance and higher protein-binding capacity of lopinavir/ritonavir, no dosing adjustments are necessary in the treatment of hemodialysis patients."
26709,nxfr24sp,nxfr24sp1126709,DISCUSSION,The dialysis machine was disinfected using sodium hypochlorite solution according to the manufacturer's instruction.
26715,nxfr24sp,nxfr24sp1226715,DISCUSSION,Lopinavir/ritonavir therapy was used in this patient; whether this resulted in less severe disease remains uncertain but warrants further study.
